,lat,lon,state,cases
1,32.318231,-86.902298,Alabama,53
2,63.588753,-154.493062,Alaska,3
3,34.048928,-111.093731,Arizona,281
4,35.20105,-91.831833,Arkansas,28
5,36.778261,-119.417932,California,3291
6,39.550051,-105.782067,Colorado,189
7,41.603221,-73.087749,Connecticut,89
8,38.910832,-75.52767,Delaware,21
9,38.905985,-77.033418,District of Columbia,414
10,27.664827,-81.515754,Florida,1739
11,32.157435,-82.907123,Georgia,1299
12,19.898682,-155.665857,Hawaii,15
13,44.068202,-114.742041,Idaho,9
14,40.633125,-89.398528,Illinois,1005
15,40.551217,-85.602364,Indiana,147
16,41.878003,-93.097702,Iowa,18
17,39.011902,-98.484246,Kansas,5
18,37.839333,-84.270018,Kentucky,27
19,31.244823,-92.145024,Louisiana,162
20,45.253783,-69.445469,Maine,5
21,39.045755,-76.641271,Maryland,461
22,42.407211,-71.382437,Massachusetts,280
23,44.314844,-85.602364,Michigan,165
24,46.729553,-94.6859,Minnesota,109
25,32.354668,-89.398528,Mississippi,29
26,37.964253,-91.831833,Missouri,42
27,46.879682,-110.362566,Montana,3
28,41.492537,-99.901813,Nebraska,25
29,38.80261,-116.419389,Nevada,127
30,43.193852,-71.572395,New Hampshire,19
31,40.058324,-74.405661,New Jersey,479
32,34.97273,-105.032363,New Mexico,23
33,43.299428,-74.217933,New York,3124
34,35.759573,-79.0193,North Carolina,288
35,47.551493,-101.002012,North Dakota,4
36,40.417287,-82.907123,Ohio,151
37,35.007752,-97.092877,Oklahoma,22
38,43.804133,-120.554201,Oregon,141
39,41.203322,-77.194525,Pennsylvania,477
40,18.220833,-66.590149,Puerto Rico,97
41,41.580095,-71.477429,Rhode Island,42
42,33.836081,-81.163725,South Carolina,100
43,43.969515,-99.901813,South Dakota,2
44,35.517491,-86.580447,Tennessee,156
45,31.968599,-99.901813,Texas,1472
46,39.32098,-111.093731,Utah,93
47,44.558803,-72.577841,Vermont,2
48,37.431573,-78.656894,Virginia,302
49,47.751074,-120.740139,Washington,332
50,38.597626,-80.454903,West Virginia,5
51,43.78444,-88.787868,Wisconsin,56
52,43.075968,-107.290284,Wyoming,1
