date,username,hashtags,tweet
2022-08-06,thetenth2022,[],"So has anyone begun to compile 'here's the starter science around monkeypox, what we know, what questions we'd like answered, and what we're starting with to try and keep ourselves and families safe.' threads?"
2022-08-06,ashemedai,[],"Getting some groceries, topic shifted to covid-19, monkeypox, and polio resurgence. Person behind the counter fully convinced that the mRNA of vaccines causes this. And ""it's curious how all this is happening at the same time"".  Thinking we are equal to experts has doomed us."
2022-08-06,democracymotion,[],"""Illinois Children's Daycare Worker Tests Positive for Monkeypox"" Illinois health officials reported Friday that an adult employee at a Champaign County children's daycare center tested positive for the monkeypox virus, the first case at such a location, bringing that state'…"
2022-08-06,thegoogle93,[],"Illinois daycare worker tests positive for monkeypox, children and other workers potentially exposed  https://t.co/qUnzAvTXSE"
2022-08-06,bufflosouljah1,[],@Natrone86 @JunotIsrael @elcavaqueen @thechiccodes Monkeypox gang real disrespectful on the internet huh?
2022-08-06,democracymotion,[],"""CDC Recommends Limiting Sex Partners to Avoid Monkeypox"" In an effort to fight monkeypox, the Centers for Disease Control and Prevention updated its guidelines on Friday, recommending people limit their sexual partners. The agency excluded any specific direction toward same…"
2022-08-06,salemjakes,[],"1,058,637 Americans have died in the U.S. Covid War  Monkeypox is spreading rapidly across the Nation  Polio is making a comeback  Biden just keeps bragging about jobs and gas  He's a nightmare, a deadly nightmare President"
2022-08-06,fineassbrei,[],MF didn’t know shit about monkey pox in June come august EVERYBODY IS A MONKEY POX EXPERT lmaoooo
2022-08-06,xenohadi,[],"Three people of African origin still admitted to hospital. They're recovering from fever &amp; skin lesions. No suspect other than them found as yet. The person admitted in July has recovered completely and went back: Dr Suresh Kumar, MD, LNJP Hospital on monkeypox cases in Delhi …"
2022-08-06,geopoliticsind,[],RT-PCR detection kit for human monkeypox virus released  https://t.co/HnB8UTGbyt
2022-08-06,gabs22341,[],@BigBadDenis When government overrides health ..we need to be worried 😟  We are in major danger.. now is not the time to take any piss .. something is seriously seriously wrong 😒.  Governor is US out right lies to public monkeypox ISN'T AIRBORNE THAT IS A MASSIVE LIE
2022-08-06,newsoutlookind,"['topstories', 'headlines', 'worldnews', 'taliban', 'harghartiranga', 'rakshabandhan', 'monkeypox', 'congress', 'cwg2022', 'newsoutlookindia', 'newsoutlookhindinews', 'newsoutlooklivenews']",News Outlook TOP STORIES// LATEST NEWS // TOP NEWS 06 August 2022 | न्यूज़ आउटलुक   https://t.co/QQxiVyYf12  #topstories #Headlines #WorldNews #Taliban #HarGharTiranga #RakshaBandhan #MonkeyPox #Congress #CWG2022 #NewsOutlookIndia #NewsOutlookHindiNews #NewsOutlookLiveNews
2022-08-06,joe_the_slow,[],"CDC Issues Eye-Opening Monkeypox 'Safer Sex' Guidelines, Exposes Their Shriveling Credibility  https://t.co/n1HECDlHeJ  https://t.co/DY7WIMlJRO"
2022-08-06,banglaviral,[],United States declares monkeypox a public health emergency amid a rise in cases  https://t.co/Pc1Caqd3KS
2022-08-06,hammamsamaa2,[],"@FoxNews They are are in love with the number 6, no more than 6 in a gathering, CV 6 feet apart, monkeypox  6 feet apart. That's three times the 6, oh look 666"
2022-08-06,sheepsidan,[],@PetiteNicoco No. It's gay to want Monkeypox though.
2022-08-06,boldlyspeaking,[],"Idc if it’s Monkey Pox, Pop Rocks, Ankle Socks, or Dread Locks… Shut it down Joe !!!"
2022-08-06,toit_ilze,[],In the technical report of CDC I found this graph of Monkeypox by reported date for US.  https://t.co/AfU9QaRy3I  https://t.co/rp8QNxgv8I
